"street","sale_price","sale_date","area","eq_area","atts","beds","baths","car_space","garage","ensuite"
"Addison Avenue Athelstone SA 5076",205000,2002-11-25,701,136," 3 Beds, 1 Baths, 2 Lock Up Garages",3,1,0,2,0
"Addison Avenue Athelstone SA 5076",190000,2000-09-15,1620,157,"",0,0,0,0,0
"Addison Avenue Athelstone SA 5076",108000,2001-04-06,775,128," 3 Beds",3,0,0,0,0
"Addison Avenue Athelstone SA 5076",263000,2004-09-03,747,130," 3 Beds, 1 Baths, 1 Car Spaces",3,1,1,0,0
"Addison Avenue Athelstone SA 5076",482500,2005-02-16,669,317," 4 Beds, 2 Baths, 2 Car Spaces, 1 Ensuites",4,2,2,0,1
"Addison Avenue Athelstone SA 5076",286000,2005-08-09,624,160," 4 Beds, 2 Baths, 1 Lock Up Garages",4,2,0,1,0
"Addison Avenue Athelstone SA 5076",140000,2000-01-10,805,95," 2 Beds, 2 Car Spaces",2,0,2,0,0
"Addison Avenue Athelstone SA 5076",385000,2003-06-26,1974,213," 3 Beds, 2 Baths, 2 Car Spaces, 1 Ensuites",3,2,2,0,1
"Adela Crescent Athelstone SA 5076",358500,2002-07-30,597,243," 4 Beds, 2 Baths, 2 Lock Up Garages, 1 Ensuites",4,2,0,2,1
"Ainsley Court Athelstone SA 5076",192000,2001-03-09,695,155,"",0,0,0,0,0
"Amber Place Athelstone SA 5076",168000,2001-07-11,703,121," 3 Beds, 2 Car Spaces",3,0,2,0,0
"Antares Way Athelstone SA 5076",320500,2005-04-29,591,184," 3 Beds, 1 Baths, 3 Car Spaces",3,1,3,0,0
"Armagh Street Athelstone SA 5076",150500,2001-11-19,753,113,"",0,0,0,0,0
"Armagh Street Athelstone SA 5076",187000,2003-03-27,600,110,"",0,0,0,0,0
"Armagh Street Athelstone SA 5076",385000,2005-08-02,692,227," 4 Beds, 2 Baths, 2 Car Spaces, 1 Ensuites",4,2,2,0,1
"Armagh Street Athelstone SA 5076",2e+05,2003-02-27,672,119," 3 Beds, 1 Baths, 1 Car Spaces, 1 Lock Up Garages",3,1,1,1,0
"Armagh Street Athelstone SA 5076",273000,2003-08-01,746,163," 3 Beds, 2 Baths, 1 Car Spaces, 1 Lock Up Garages, 1 Ensuites",3,2,1,1,1
"Aurora Drive Athelstone SA 5076",162251,2001-09-17,564,140," 3 Beds, 2 Baths, 2 Car Spaces, 1 Ensuites",3,2,2,0,1
"Austin Avenue Athelstone SA 5076",275000,2005-11-25,844,131," 3 Beds, 1 Baths, 2 Car Spaces, 2 Lock Up Garages",3,1,2,2,0
"Bakhill Road Athelstone SA 5076",125000,2002-06-05,688,123,"",0,0,0,0,0
"Bakhill Road Athelstone SA 5076",295000,2003-02-14,697,170," 3 Beds, 1 Baths, 2 Car Spaces, 1 Lock Up Garages, 1 Ensuites",3,1,2,1,1
"Banksia Crescent Athelstone SA 5076",143000,2000-11-23,600,120," 3 Beds, 1 Baths",3,1,0,0,0
"Banksia Crescent Athelstone SA 5076",338000,2001-12-11,903,260," 4 Beds, 1 Baths, 2 Lock Up Garages, 1 Ensuites",4,1,0,2,1
"Banksia Crescent Athelstone SA 5076",257000,2000-07-14,775,207," 3 Beds, 2 Baths, 2 Car Spaces",3,2,2,0,0
"Bellview Drive Athelstone SA 5076",207000,2001-10-23,1009,187," 5 Beds, 1 Ensuites",5,0,0,0,1
"Bellview Drive Athelstone SA 5076",237000,2001-07-27,590,193," 4 Beds, 1 Baths, 2 Car Spaces, 2 Lock Up Garages",4,1,2,2,0
"Bellview Drive Athelstone SA 5076",398000,2003-01-10,628,267," 4 Beds, 2 Lock Up Garages, 1 Ensuites",4,0,0,2,1
"Bellview Drive Athelstone SA 5076",212000,2002-04-04,719,159," 2 Beds, 2 Baths",2,2,0,0,0
"Bellview Drive Athelstone SA 5076",235000,2000-02-18,741,268,"",0,0,0,0,0
"Bermuda Court Athelstone SA 5076",530000,2002-04-16,1903,392," 3 Beds, 3 Baths, 2 Lock Up Garages, 2 Ensuites",3,3,0,2,2
"Berry Fry Avenue Athelstone SA 5076",240000,2000-08-29,759,224,"",0,0,0,0,0
"Bilney Drive Athelstone SA 5076",275000,2005-10-26,825,103," 3 Beds, 1 Baths, 1 Lock Up Garages",3,1,0,1,0
"Bilney Drive Athelstone SA 5076",235000,2002-08-07,396,156," 3 Beds, 1 Ensuites",3,0,0,0,1
"Bradbrook Road Athelstone SA 5076",272000,2000-03-23,841,285,"",0,0,0,0,0
"Bradbrook Road Athelstone SA 5076",220000,2004-02-27,700,98," 3 Beds, 1 Baths, 2 Car Spaces, 1 Lock Up Garages",3,1,2,1,0
"Bradbrook Road Athelstone SA 5076",295000,2005-04-14,711,132," 1 Baths, 1 Lock Up Garages",0,1,0,1,0
"Bradbrook Road Athelstone SA 5076",291000,2003-08-15,769,165," 3 Beds, 1 Ensuites",3,0,0,0,1
"Bradbrook Road Athelstone SA 5076",175000,2002-04-24,730,142," 3 Beds, 2 Car Spaces",3,0,2,0,0
"Bradbrook Road Athelstone SA 5076",197000,2001-10-17,735,176,"",0,0,0,0,0
"Bradbrook Road Athelstone SA 5076",255000,2005-06-20,612,102," 3 Beds, 1 Baths, 1 Car Spaces",3,1,1,0,0
"Bridget Street Athelstone SA 5076",245000,2003-12-15,646,155," 4 Beds, 1 Car Spaces, 1 Lock Up Garages",4,0,1,1,0
"Bridget Street Athelstone SA 5076",175000,2001-11-28,633,131," 3 Beds, 1 Baths",3,1,0,0,0
