"street","sale_price","sale_date","area","eq_area","atts","beds","baths","car_space","garage","ensuite"
"Aberfeldy Avenue Edwardstown SA 5039",440000,2010-10-14,685,112," 2 Beds, 1 Baths, 1 Car Spaces, 1 Lock Up Garages",2,1,1,1,0
"Aberfeldy Avenue Edwardstown SA 5039",175000,2002-01-10,660,120," 3 Beds, 1 Lock Up Garages",3,0,0,1,0
"Aberfeldy Avenue Edwardstown SA 5039",168000,2009-11-30,660,106," 3 Beds",3,0,0,0,0
"Aberfeldy Avenue Edwardstown SA 5039",360500,2008-06-30,673,146," 3 Beds, 2 Baths, 1 Car Spaces",3,2,1,0,0
"Aberfeldy Avenue Edwardstown SA 5039",97000,2000-01-07,452,113,"",0,0,0,0,0
"Aberfeldy Avenue Edwardstown SA 5039",450000,2008-01-20,660,235," 9 Beds, 2 Baths, 1 Ensuites",9,2,0,0,1
"Aberfeldy Avenue Edwardstown SA 5039",310000,2003-12-10,336,122," 3 Beds, 1 Car Spaces, 1 Lock Up Garages",3,0,1,1,0
"Aberfeldy Avenue Edwardstown SA 5039",305000,2004-12-21,669,127," 3 Beds, 1 Baths, 2 Car Spaces, 1 Lock Up Garages",3,1,2,1,0
"Adelaide Terrace Edwardstown SA 5039",135000,2002-12-20,57,110," 3 Beds, 1 Baths, 2 Car Spaces, 2 Lock Up Garages, 2 Ensuites",3,1,2,2,2
"Adelaide Terrace Edwardstown SA 5039",227775,2007-02-28,37,110," 3 Beds, 2 Baths, 2 Car Spaces, 2 Ensuites",3,2,2,0,2
"Adelaide Terrace Edwardstown SA 5039",151000,2003-02-20,56,110," 3 Beds, 2 Baths, 2 Car Spaces, 2 Lock Up Garages, 2 Ensuites",3,2,2,2,2
"Adelaide Terrace Edwardstown SA 5039",130000,2000-10-13,800,136," 3 Beds, 1 Baths",3,1,0,0,0
"Adelaide Terrace Edwardstown SA 5039",356000,2009-12-01,700,113," 3 Beds, 1 Baths, 1 Lock Up Garages",3,1,0,1,0
"Adelaide Terrace Edwardstown SA 5039",256000,2003-10-27,700,94," 3 Beds, 1 Baths, 1 Car Spaces",3,1,1,0,0
"Adelaide Terrace Edwardstown SA 5039",315000,2008-08-22,331,94,"",0,0,0,0,0
"Adelaide Terrace Edwardstown SA 5039",220500,2004-06-18,1200,106," 3 Beds, 2 Lock Up Garages",3,0,0,2,0
"Adelaide Terrace Edwardstown SA 5039",165000,2002-11-27,700,85," 3 Beds",3,0,0,0,0
"Adelaide Terrace Edwardstown SA 5039",258000,2004-02-26,700,118," 3 Beds, 1 Baths, 3 Car Spaces",3,1,3,0,0
"Allambee Avenue Edwardstown SA 5039",380000,2008-05-28,900,104," 4 Beds, 1 Baths, 1 Car Spaces, 1 Lock Up Garages",4,1,1,1,0
"Allambee Avenue Edwardstown SA 5039",297500,2006-03-16,700,127," 3 Beds, 1 Baths",3,1,0,0,0
"Allambee Avenue Edwardstown SA 5039",396000,2008-12-05,900,159," 2 Beds, 1 Baths, 1 Car Spaces, 1 Lock Up Garages",2,1,1,1,0
"Allambee Avenue Edwardstown SA 5039",245000,2005-11-08,900,88," 3 Beds, 2 Baths, 1 Car Spaces, 1 Lock Up Garages, 1 Ensuites",3,2,1,1,1
"Allambee Avenue Edwardstown SA 5039",4e+05,2008-01-26,445,136," 3 Beds, 2 Baths, 1 Car Spaces, 1 Lock Up Garages, 2 Ensuites",3,2,1,1,2
"Allambee Avenue Edwardstown SA 5039",115000,2006-11-16,900,104," 3 Beds, 1 Lock Up Garages, 1 Ensuites",3,0,0,1,1
"Allambee Avenue Edwardstown SA 5039",168049,2004-05-10,NA,98,"",0,0,0,0,0
"Allambee Avenue Edwardstown SA 5039",150000,2001-01-16,800,90,"",0,0,0,0,0
"Allambee Avenue Edwardstown SA 5039",207000,2003-06-18,800,113," 3 Beds",3,0,0,0,0
"Allambee Avenue Edwardstown SA 5039",205000,2003-01-28,800,103," 3 Beds, 1 Baths, 5 Car Spaces, 1 Lock Up Garages",3,1,5,1,0
"Angus Avenue Edwardstown SA 5039",335000,2003-07-02,1273,145," 3 Beds, 2 Baths",3,2,0,0,0
"Angus Avenue Edwardstown SA 5039",170000,2001-11-16,928,114," 3 Beds, 1 Baths, 1 Car Spaces, 1 Lock Up Garages",3,1,1,1,0
"Angus Avenue Edwardstown SA 5039",250000,2004-11-04,762,95," 3 Beds, 1 Baths, 1 Car Spaces, 1 Lock Up Garages",3,1,1,1,0
"Angus Avenue Edwardstown SA 5039",180000,2008-12-19,12,69," 2 Beds, 1 Baths, 1 Car Spaces, 1 Lock Up Garages",2,1,1,1,0
"Angus Avenue Edwardstown SA 5039",370000,2008-09-15,772,100," 4 Beds, 2 Baths, 2 Car Spaces, 1 Lock Up Garages",4,2,2,1,0
"Angus Avenue Edwardstown SA 5039",240000,2005-12-02,928,103," 3 Beds, 1 Baths, 1 Car Spaces",3,1,1,0,0
"Angus Avenue Edwardstown SA 5039",230000,2009-04-08,140,70,"",0,0,0,0,0
"Angus Avenue Edwardstown SA 5039",229000,2010-06-03,62,63," 2 Beds, 1 Baths, 1 Car Spaces, 1 Lock Up Garages",2,1,1,1,0
"Angus Avenue Edwardstown SA 5039",268000,2004-02-25,738,100," 3 Beds",3,0,0,0,0
"Arabrie Avenue Edwardstown SA 5039",110000,2000-09-08,700,100,"",0,0,0,0,0
"Arabrie Avenue Edwardstown SA 5039",270000,2007-11-30,447,68," 2 Beds, 1 Baths, 2 Car Spaces, 1 Lock Up Garages",2,1,2,1,0
"Arabrie Avenue Edwardstown SA 5039",275000,2008-05-16,458,81," 2 Beds, 1 Baths, 2 Car Spaces",2,1,2,0,0
"Arabrie Avenue Edwardstown SA 5039",270000,2010-05-17,700,109," 2 Beds",2,0,0,0,0
"Blairgowrie Avenue Edwardstown SA 5039",196000,2003-01-16,607,110," 2 Beds, 1 Lock Up Garages, 2 Ensuites",2,0,0,1,2
"Blairgowrie Avenue Edwardstown SA 5039",350000,2010-12-06,612,102," 3 Beds, 2 Baths, 2 Car Spaces, 2 Lock Up Garages, 1 Ensuites",3,2,2,2,1
"Calstock Avenue Edwardstown SA 5039",435000,2010-02-10,375,145," 3 Beds, 2 Baths, 1 Car Spaces, 2 Ensuites",3,2,1,0,2
"Calstock Avenue Edwardstown SA 5039",335000,2009-04-16,600,120," 3 Beds, 1 Baths, 1 Car Spaces, 1 Lock Up Garages",3,1,1,1,0
"Calstock Avenue Edwardstown SA 5039",305000,2007-11-05,514,92," 3 Beds, 1 Baths, 1 Car Spaces, 2 Lock Up Garages",3,1,1,2,0
"Calstock Avenue Edwardstown SA 5039",83000,2009-10-26,700,105," 3 Beds, 1 Baths, 2 Car Spaces",3,1,2,0,0
"Carramar Avenue Edwardstown SA 5039",267500,2005-08-26,900,102," 3 Beds, 1 Baths, 1 Car Spaces, 2 Lock Up Garages",3,1,1,2,0
"Carramar Avenue Edwardstown SA 5039",291200,2005-09-27,339,98," 2 Beds, 1 Baths, 1 Car Spaces",2,1,1,0,0
"Carramar Avenue Edwardstown SA 5039",260000,2006-01-31,900,107," 2 Beds, 1 Baths, 2 Car Spaces, 1 Lock Up Garages",2,1,2,1,0
"Carramar Avenue Edwardstown SA 5039",295000,2006-09-07,900,110," 3 Beds, 1 Baths, 2 Car Spaces",3,1,2,0,0
"Carramar Avenue Edwardstown SA 5039",449000,2008-09-04,446,168," 3 Beds, 1 Baths, 2 Car Spaces, 2 Lock Up Garages",3,1,2,2,0
"Carramar Avenue Edwardstown SA 5039",135000,2002-01-21,900,92," 2 Beds",2,0,0,0,0
"Carramar Avenue Edwardstown SA 5039",360000,2007-02-13,530,137," 3 Beds, 1 Baths, 2 Car Spaces",3,1,2,0,0
"Castle Street Edwardstown SA 5039",340000,2009-10-15,627,108," 2 Beds, 1 Baths",2,1,0,0,0
"Castle Street Edwardstown SA 5039",380000,2009-06-10,350,137," 3 Beds, 1 Baths, 2 Car Spaces, 2 Lock Up Garages",3,1,2,2,0
"Castle Street Edwardstown SA 5039",220000,2002-06-21,350,145," 3 Beds, 1 Lock Up Garages",3,0,0,1,0
"Castle Street Edwardstown SA 5039",345000,2007-05-24,329,145," 3 Beds, 1 Baths, 2 Car Spaces, 1 Lock Up Garages",3,1,2,1,0
"Castle Street Edwardstown SA 5039",300105,2004-04-02,335,143,"",0,0,0,0,0
"Castle Street Edwardstown SA 5039",360000,2006-11-27,424,142," 3 Beds, 1 Baths, 2 Car Spaces",3,1,2,0,0
"Castle Street Edwardstown SA 5039",108000,2000-02-28,711,112," 3 Beds, 1 Car Spaces, 1 Lock Up Garages",3,0,1,1,0
"Castle Street Edwardstown SA 5039",290000,2009-12-03,711,107," 4 Beds, 2 Baths, 1 Car Spaces",4,2,1,0,0
"Castle Street Edwardstown SA 5039",133333,2008-11-10,883,123," 3 Beds, 1 Baths, 2 Car Spaces",3,1,2,0,0
"Castle Street Edwardstown SA 5039",535000,2008-05-01,920,209,"",0,0,0,0,0
"Castle Street Edwardstown SA 5039",330000,2006-02-17,883,118," 5 Beds, 2 Baths, 4 Car Spaces",5,2,4,0,0
"Castle Street Edwardstown SA 5039",550000,2010-12-29,920,175," 5 Beds, 2 Baths, 4 Car Spaces",5,2,4,0,0
"Castle Street Edwardstown SA 5039",455000,2007-10-26,920,125," 5 Beds, 2 Baths, 1 Car Spaces",5,2,1,0,0
"Castle Street Edwardstown SA 5039",143500,2000-08-29,762,110," 4 Beds, 2 Baths, 2 Car Spaces",4,2,2,0,0
"Castle Street Edwardstown SA 5039",436000,2009-11-25,599,120," 3 Beds, 1 Baths, 2 Car Spaces",3,1,2,0,0
"Castle Street Edwardstown SA 5039",395000,2008-05-30,588,146," 3 Beds, 1 Baths, 2 Car Spaces",3,1,2,0,0
