"street","sale_price","sale_date","area","eq_area","atts","beds","baths","car_space","garage","ensuite"
"Addolorata Court Highbury SA 5089",2e+05,2000-06-08,610,220,"",0,0,0,0,0
"Addolorata Court Highbury SA 5089",385000,2004-02-27,676,230," 1 Ensuites",0,0,0,0,1
"Addolorata Court Highbury SA 5089",590000,2004-02-16,841,289," 4 Beds",4,0,0,0,0
"Addolorata Court Highbury SA 5089",347500,2006-02-28,617,187," 4 Beds, 2 Baths, 3 Car Spaces, 1 Ensuites",4,2,3,0,1
"Addolorata Court Highbury SA 5089",320000,2003-06-27,697,225," 3 Beds, 2 Lock Up Garages, 1 Ensuites",3,0,0,2,1
"Addolorata Court Highbury SA 5089",324000,2003-12-18,802,190," 4 Beds, 1 Ensuites",4,0,0,0,1
"Alister Street Highbury SA 5089",3e+05,2006-01-06,611,146," 4 Beds, 2 Baths, 2 Car Spaces, 1 Ensuites",4,2,2,0,1
"Alister Street Highbury SA 5089",152500,2001-12-20,631,126," 3 Beds, 2 Car Spaces",3,0,2,0,0
"Alister Street Highbury SA 5089",205000,2002-09-16,597,139," 4 Beds, 2 Baths, 2 Car Spaces, 1 Ensuites",4,2,2,0,1
"Alister Street Highbury SA 5089",153500,2002-02-26,660,138," 4 Beds, 1 Baths",4,1,0,0,0
"Alister Street Highbury SA 5089",241000,2003-10-23,625,130," 3 Beds, 1 Baths, 1 Car Spaces, 1 Ensuites",3,1,1,0,1
"Alister Street Highbury SA 5089",175000,2000-06-28,613,164," 3 Beds, 1 Baths, 1 Car Spaces",3,1,1,0,0
"Almerta Street Highbury SA 5089",2e+05,2004-06-28,367,103," 3 Beds, 1 Baths, 4 Car Spaces",3,1,4,0,0
"Almerta Street Highbury SA 5089",455000,2005-04-19,819,272," 3 Beds",3,0,0,0,0
"Amber Road Highbury SA 5089",2e+05,2004-05-31,1007,98," 3 Beds",3,0,0,0,0
"Amber Road Highbury SA 5089",305000,2006-06-30,839,127," 3 Beds, 1 Baths, 2 Car Spaces, 1 Lock Up Garages",3,1,2,1,0
"Amber Road Highbury SA 5089",365000,2006-12-22,780,174," 3 Beds, 2 Baths, 2 Car Spaces, 2 Lock Up Garages, 1 Ensuites",3,2,2,2,1
"Amber Road Highbury SA 5089",285000,2006-05-04,708,108," 3 Beds, 1 Baths, 2 Car Spaces, 1 Lock Up Garages",3,1,2,1,0
"Amber Road Highbury SA 5089",120000,2003-02-03,778,121," 3 Beds, 1 Baths, 1 Car Spaces",3,1,1,0,0
"Amber Road Highbury SA 5089",225000,2004-12-10,773,102," 3 Beds, 1 Baths, 1 Car Spaces, 1 Lock Up Garages",3,1,1,1,0
"Amber Road Highbury SA 5089",550000,2005-11-21,2395,195," 3 Beds, 2 Baths, 1 Car Spaces, 1 Lock Up Garages",3,2,1,1,0
"Amber Road Highbury SA 5089",283500,2006-01-04,848,136," 1 Beds, 1 Baths, 2 Car Spaces",1,1,2,0,0
"Andrea Street Highbury SA 5089",168000,2002-11-07,614,122," 3 Beds, 2 Baths, 1 Car Spaces, 1 Lock Up Garages, 1 Ensuites",3,2,1,1,1
"Andrea Street Highbury SA 5089",280000,2004-06-11,627,152," 4 Beds, 2 Baths, 2 Car Spaces, 1 Lock Up Garages, 1 Ensuites",4,2,2,1,1
"Aqueduct Way Highbury SA 5089",580000,2005-05-20,726,323," 3 Beds, 2 Baths, 2 Car Spaces, 2 Lock Up Garages, 1 Ensuites",3,2,2,2,1
"Awoonga Road Highbury SA 5089",240000,2006-05-05,771,130," 3 Beds, 1 Baths, 1 Lock Up Garages",3,1,0,1,0
