"street","sale_price","sale_date","area","eq_area","atts","beds","baths","car_space","garage","ensuite"
"Albury Court Hope Valley SA 5090",218900,2003-10-27,1057,134," 3 Beds, 1 Baths, 1 Car Spaces",3,1,1,0,0
"Alesia Court Hope Valley SA 5090",252500,2001-04-04,670,220," 4 Beds, 2 Lock Up Garages, 2 Ensuites",4,0,0,2,2
"Alexis Street Hope Valley SA 5090",157000,2000-12-15,355,153," 4 Beds, 2 Lock Up Garages, 1 Ensuites",4,0,0,2,1
"Alexis Street Hope Valley SA 5090",268000,2004-04-15,360,159," 3 Beds, 1 Ensuites",3,0,0,0,1
"Alexis Street Hope Valley SA 5090",261000,2005-07-12,355,146," 3 Beds, 1 Baths, 1 Ensuites",3,1,0,0,1
"Alexis Street Hope Valley SA 5090",176000,2001-09-26,603,207," 4 Beds, 3 Baths, 2 Lock Up Garages, 1 Ensuites",4,3,0,2,1
"Alexis Street Hope Valley SA 5090",168000,2000-05-26,620,165," 1 Ensuites",0,0,0,0,1
"Almerta Street Hope Valley SA 5090",155000,2001-08-31,336,120," 3 Beds, 1 Baths, 1 Car Spaces, 1 Lock Up Garages",3,1,1,1,0
"Altair Avenue Hope Valley SA 5090",187000,2000-08-29,1191,160,"",0,0,0,0,0
"Altair Avenue Hope Valley SA 5090",152500,2001-01-08,1025,122,"",0,0,0,0,0
"Altair Avenue Hope Valley SA 5090",325000,2006-02-14,1020,215," 3 Beds, 2 Baths, 2 Car Spaces, 1 Ensuites",3,2,2,0,1
"Altair Street Hope Valley SA 5090",310000,2002-04-16,1630,234," 4 Beds",4,0,0,0,0
"Altair Street Hope Valley SA 5090",355000,2003-07-14,1394,200," 3 Beds, 2 Baths, 2 Car Spaces, 2 Lock Up Garages, 1 Ensuites",3,2,2,2,1
"Altair Street Hope Valley SA 5090",340000,2006-12-15,717,187," 4 Beds, 2 Baths, 1 Car Spaces, 1 Ensuites",4,2,1,0,1
"Altair Street Hope Valley SA 5090",125000,2001-09-06,705,108," 3 Beds, 1 Car Spaces",3,0,1,0,0
"Amber Road Hope Valley SA 5090",195000,2005-11-25,839,94," 3 Beds, 1 Car Spaces",3,0,1,0,0
"Amber Road Hope Valley SA 5090",310000,2001-06-28,668,329," 5 Beds, 3 Baths, 2 Car Spaces, 2 Lock Up Garages, 1 Ensuites",5,3,2,2,1
