"street","sale_price","sale_date","area","eq_area","atts","beds","baths","car_space","garage","ensuite"
"Bank Street Kilburn SA 5084",58500,2000-07-21,753,85," 4 Beds, 2 Baths, 1 Car Spaces, 1 Ensuites",4,2,1,0,1
"Bank Street Kilburn SA 5084",330000,2009-11-17,301,121," 3 Beds, 1 Baths, 1 Car Spaces, 1 Lock Up Garages, 1 Ensuites",3,1,1,1,1
"Bank Street Kilburn SA 5084",187000,2008-05-14,743,102," 3 Beds, 1 Baths",3,1,0,0,0
"Brooklyn Terrace Kilburn SA 5084",280000,2009-04-27,764,96," 3 Beds, 1 Baths, 1 Car Spaces, 1 Lock Up Garages",3,1,1,1,0
"Brooklyn Terrace Kilburn SA 5084",381000,2009-04-30,339,144," 3 Beds, 9 Baths, 1 Lock Up Garages",3,9,0,1,0
"Brooklyn Terrace Kilburn SA 5084",282000,2005-09-30,609,152," 4 Beds, 2 Baths, 2 Car Spaces, 1 Ensuites",4,2,2,0,1
"Brooklyn Terrace Kilburn SA 5084",94000,2000-10-25,837,87," 4 Beds, 2 Baths, 2 Car Spaces",4,2,2,0,0
"Brunswick Street Kilburn SA 5084",242000,2007-03-13,720,84," 3 Beds, 1 Baths, 3 Car Spaces, 1 Lock Up Garages",3,1,3,1,0
"Brunswick Street Kilburn SA 5084",220000,2005-05-05,670,123," 3 Beds, 1 Baths",3,1,0,0,0
"Brunswick Street Kilburn SA 5084",330000,2009-07-23,665,104," 3 Beds, 1 Baths, 1 Car Spaces",3,1,1,0,0
"Brunswick Street Kilburn SA 5084",184000,2004-01-30,836,92," 4 Beds, 1 Car Spaces, 2 Lock Up Garages",4,0,1,2,0
"Brunswick Street Kilburn SA 5084",77118,2005-08-30,799,94," 2 Beds, 1 Baths, 1 Car Spaces, 1 Lock Up Garages",2,1,1,1,0
"Brunswick Street Kilburn SA 5084",240000,2008-05-19,558,87," 3 Beds, 1 Baths, 4 Car Spaces",3,1,4,0,0
"Brunswick Street Kilburn SA 5084",166000,2004-06-21,580,87," 3 Beds, 1 Baths, 2 Car Spaces, 2 Lock Up Garages",3,1,2,2,0
"Brunswick Street Kilburn SA 5084",45500,2001-10-12,654,111,"",0,0,0,0,0
"Bundarra Avenue Kilburn SA 5084",2e+05,2004-05-07,415,70," 2 Beds",2,0,0,0,0
"Bundarra Avenue Kilburn SA 5084",220000,2006-06-07,393,65," 3 Beds, 1 Baths, 1 Car Spaces",3,1,1,0,0
"Bundarra Avenue Kilburn SA 5084",512599,2006-06-13,308,123,"",0,0,0,0,0
"Bundarra Avenue Kilburn SA 5084",512599,2006-06-13,328,123,"",0,0,0,0,0
