"street","sale_price","sale_date","area","eq_area","atts","beds","baths","car_space","garage","ensuite"
"Adelaide Street Magill SA 5072",387000,2004-07-28,564,167," 4 Beds, 2 Baths, 2 Car Spaces, 2 Lock Up Garages, 1 Ensuites",4,2,2,2,1
"Adelaide Street Magill SA 5072",327000,2002-06-11,535,200," 1 Ensuites",0,0,0,0,1
"Adelaide Street Magill SA 5072",213800,2000-11-29,663,190,"",0,0,0,0,0
"Adelaide Street Magill SA 5072",147700,2001-05-01,696,66," 2 Beds, 1 Car Spaces",2,0,1,0,0
"Adelaide Street Magill SA 5072",515000,2006-07-14,392,213," 3 Beds, 2 Baths, 2 Car Spaces, 2 Lock Up Garages, 1 Ensuites",3,2,2,2,1
"Alexandra Avenue Magill SA 5072",280000,2005-07-22,736,111," 4 Beds, 2 Baths",4,2,0,0,0
"Almond Grove Magill SA 5072",410000,2005-01-21,401,153," 3 Beds, 2 Baths, 2 Car Spaces, 2 Lock Up Garages, 1 Ensuites",3,2,2,2,1
"Almond Grove Magill SA 5072",379000,2005-03-17,399,168," 3 Beds, 2 Baths, 1 Ensuites",3,2,0,0,1
"Almond Grove Magill SA 5072",352400,2002-07-25,488,206," 4 Beds, 2 Lock Up Garages, 1 Ensuites",4,0,0,2,1
"Almond Grove Magill SA 5072",272000,2000-05-16,550,223," 1 Ensuites",0,0,0,0,1
"Alton Avenue Magill SA 5072",233500,2002-06-28,828,136," 4 Beds, 2 Baths, 1 Car Spaces",4,2,1,0,0
"Alton Avenue Magill SA 5072",260000,2002-10-17,819,121," 3 Beds, 1 Lock Up Garages",3,0,0,1,0
"Alton Avenue Magill SA 5072",190250,2000-08-03,826,141," 3 Beds, 4 Baths, 2 Car Spaces",3,4,2,0,0
"Alton Avenue Magill SA 5072",182500,2002-08-19,545,106," 3 Beds, 1 Baths, 1 Car Spaces",3,1,1,0,0
"Alton Avenue Magill SA 5072",140000,2000-06-14,835,90," 3 Beds, 1 Baths, 2 Car Spaces, 2 Lock Up Garages",3,1,2,2,0
"Alton Avenue Magill SA 5072",275000,2005-12-30,844,83," 3 Beds, 2 Baths, 2 Car Spaces, 1 Ensuites",3,2,2,0,1
"Alton Avenue Magill SA 5072",265500,2002-12-03,350,156," 3 Beds, 2 Baths, 2 Lock Up Garages, 1 Ensuites",3,2,0,2,1
"Alton Avenue Magill SA 5072",125000,2002-09-30,912,90," 3 Beds, 1 Baths",3,1,0,0,0
"Alton Avenue Magill SA 5072",125000,2002-09-10,996,90," 3 Beds, 1 Baths, 1 Lock Up Garages",3,1,0,1,0
"Alton Avenue Magill SA 5072",312000,2004-04-05,990,90," 3 Beds",3,0,0,0,0
"Alton Avenue Magill SA 5072",220000,2002-09-09,844,90," 2 Beds, 1 Baths",2,1,0,0,0
"Angas Road Magill SA 5072",160000,2000-01-21,1007,122,"",0,0,0,0,0
"Angas Road Magill SA 5072",400100,2004-01-05,309,160," 3 Beds, 1 Baths, 2 Ensuites",3,1,0,0,2
"Angas Road Magill SA 5072",320000,2006-02-10,912,95," 4 Beds, 2 Baths, 2 Car Spaces",4,2,2,0,0
"Angas Road Magill SA 5072",440000,2005-03-31,502,198," 4 Beds, 1 Lock Up Garages, 1 Ensuites",4,0,0,1,1
"Armson Avenue Magill SA 5072",510000,2003-11-20,1100,160," 3 Beds, 2 Baths",3,2,0,0,0
"Arthur Street Magill SA 5072",160000,2001-09-14,659,90," 3 Beds, 1 Baths, 1 Car Spaces, 2 Lock Up Garages",3,1,1,2,0
"Arthur Street Magill SA 5072",260000,2006-10-26,680,92," 4 Beds, 2 Baths, 2 Car Spaces, 2 Lock Up Garages",4,2,2,2,0
"Arthur Street Magill SA 5072",250000,2004-11-26,727,83," 3 Beds, 2 Baths, 1 Lock Up Garages",3,2,0,1,0
"Arthur Street Magill SA 5072",205100,2003-06-23,665,106," 2 Beds",2,0,0,0,0
"Arthur Street Magill SA 5072",180000,2001-12-05,830,117,"",0,0,0,0,0
"Arthur Street Magill SA 5072",117333,2004-05-03,838,100,"",0,0,0,0,0
"Balmoral Avenue Magill SA 5072",430000,2006-08-01,465,170," 3 Beds, 2 Baths, 2 Car Spaces, 1 Ensuites",3,2,2,0,1
"Balmoral Avenue Magill SA 5072",325500,2004-10-29,441,122," 3 Beds, 1 Baths",3,1,0,0,0
"Balmoral Avenue Magill SA 5072",253000,2002-11-27,407,132," 3 Beds, 2 Baths, 1 Car Spaces, 1 Ensuites",3,2,1,0,1
"Balmoral Avenue Magill SA 5072",257500,2003-04-07,683,101," 4 Beds, 2 Baths, 1 Car Spaces",4,2,1,0,0
"Balmoral Avenue Magill SA 5072",380000,2005-10-13,1081,106," 3 Beds, 2 Baths",3,2,0,0,0
"Balmoral Avenue Magill SA 5072",173000,2000-06-21,691,120,"",0,0,0,0,0
"Balmoral Avenue Magill SA 5072",322500,2005-05-26,381,129," 2 Beds, 1 Baths, 2 Car Spaces, 1 Ensuites",2,1,2,0,1
"Balmoral Avenue Magill SA 5072",365000,2002-12-17,409,213," 3 Beds, 3 Baths, 2 Ensuites",3,3,0,0,2
"Balmoral Avenue Magill SA 5072",328000,2005-04-21,394,117," 3 Beds, 1 Baths",3,1,0,0,0
"Barnes Avenue Magill SA 5072",245000,2005-12-16,229,100," 3 Beds, 1 Baths, 2 Car Spaces, 2 Lock Up Garages",3,1,2,2,0
"Barnes Avenue Magill SA 5072",4e+05,2004-08-05,697,148," 3 Beds, 1 Baths",3,1,0,0,0
"Barnes Avenue Magill SA 5072",196121,2002-07-25,784,111," 3 Beds, 1 Baths, 1 Car Spaces, 1 Ensuites",3,1,1,0,1
"Barnes Avenue Magill SA 5072",405000,2003-10-21,946,114," 4 Beds, 2 Baths, 1 Car Spaces, 1 Lock Up Garages",4,2,1,1,0
"Barnes Avenue Magill SA 5072",215000,2001-09-24,693,104," 2 Beds",2,0,0,0,0
"Barnes Avenue Magill SA 5072",288000,2004-03-16,701,105," 3 Beds, 1 Baths, 2 Car Spaces, 1 Lock Up Garages",3,1,2,1,0
"Barnes Avenue Magill SA 5072",325000,2003-06-05,1320,197," 3 Beds, 2 Baths, 1 Car Spaces",3,2,1,0,0
"Barnes Avenue Magill SA 5072",223000,2001-12-17,710,102," 3 Beds, 1 Baths, 1 Car Spaces",3,1,1,0,0
"Barnes Avenue Magill SA 5072",274500,2006-12-22,176,110," 2 Beds, 1 Baths, 1 Car Spaces, 1 Lock Up Garages",2,1,1,1,0
"Bennett Crescent Magill SA 5072",192000,2000-05-10,767,115," 3 Beds, 2 Baths, 1 Car Spaces, 1 Ensuites",3,2,1,0,1
"Bennett Crescent Magill SA 5072",342000,2004-11-05,603,130," 4 Beds, 1 Baths",4,1,0,0,0
"Berry Street Magill SA 5072",476000,2006-12-15,388,220," 3 Beds, 2 Baths, 2 Car Spaces, 2 Lock Up Garages, 1 Ensuites",3,2,2,2,1
"Blanche Avenue Magill SA 5072",156000,2001-05-29,645,100," 5 Beds, 1 Baths, 1 Lock Up Garages",5,1,0,1,0
"Braeside Avenue Magill SA 5072",260000,2006-02-28,888,148," 3 Beds, 2 Baths, 2 Car Spaces, 2 Lock Up Garages",3,2,2,2,0
"Braeside Avenue Magill SA 5072",210000,2000-06-30,855,248," 4 Beds, 2 Baths, 2 Car Spaces",4,2,2,0,0
"Briant Road Magill SA 5072",385000,2006-07-20,886,147," 3 Beds, 1 Baths, 2 Car Spaces",3,1,2,0,0
"Briant Road Magill SA 5072",304000,2005-12-05,704,110," 3 Beds, 1 Baths",3,1,0,0,0
"Briant Road Magill SA 5072",180000,2001-03-30,710,105," 3 Beds, 1 Baths, 1 Car Spaces, 1 Lock Up Garages",3,1,1,1,0
"Briant Road Magill SA 5072",188000,2002-02-19,714,100," 2 Beds",2,0,0,0,0
"Bricknell Street Magill SA 5072",335000,2004-09-24,359,135," 2 Ensuites",0,0,0,0,2
"Bricknell Street Magill SA 5072",230000,2002-11-25,743,90," 3 Beds, 1 Baths, 1 Car Spaces, 1 Lock Up Garages",3,1,1,1,0
"Bricknell Street Magill SA 5072",220000,2002-09-27,798,90,"",0,0,0,0,0
"Bricknell Street Magill SA 5072",270000,2002-09-23,352,175," 3 Beds, 2 Baths, 2 Lock Up Garages, 1 Ensuites",3,2,0,2,1
"Bricknell Street Magill SA 5072",345000,2006-01-12,333,140," 1 Ensuites",0,0,0,0,1
"Bricknell Street Magill SA 5072",250000,2003-07-21,872,90," 3 Beds",3,0,0,0,0
"Bricknell Street Magill SA 5072",285000,2006-06-29,862,90," 4 Beds, 3 Baths, 1 Lock Up Garages",4,3,0,1,0
"Bricknell Street Magill SA 5072",180000,2001-09-28,834,105," 4 Beds, 1 Baths",4,1,0,0,0
"Brookside Avenue Magill SA 5072",545000,2006-10-17,348,200," 3 Beds, 2 Baths, 2 Car Spaces, 1 Ensuites",3,2,2,0,1
"Brougham Street Magill SA 5072",330000,2005-11-28,683,113," 3 Beds, 1 Baths",3,1,0,0,0
"Brougham Street Magill SA 5072",260000,2004-12-02,897,100," 5 Beds, 2 Baths, 2 Car Spaces",5,2,2,0,0
"Brougham Street Magill SA 5072",524000,2006-09-27,678,150," 3 Beds, 2 Baths, 2 Car Spaces",3,2,2,0,0
"Bundey Street Magill SA 5072",495000,2006-06-30,446,206," 3 Beds, 2 Car Spaces, 2 Ensuites",3,0,2,0,2
"Bundey Street Magill SA 5072",420000,2006-05-04,380,170," 3 Beds, 2 Baths, 1 Car Spaces, 2 Ensuites",3,2,1,0,2
"Bundey Street Magill SA 5072",139000,2000-08-15,607,143,"",0,0,0,0,0
"Burchett Avenue Magill SA 5072",265000,2001-02-28,1164,115," 3 Beds, 1 Car Spaces, 2 Lock Up Garages",3,0,1,2,0
"Burchett Avenue Magill SA 5072",237000,2001-11-19,1003,115," 3 Beds, 1 Baths",3,1,0,0,0
"Carey Street Magill SA 5072",250000,2002-05-16,625,160," 3 Beds, 2 Baths, 2 Car Spaces",3,2,2,0,0
"Carey Street Magill SA 5072",515000,2006-04-13,539,188," 3 Beds, 2 Baths, 1 Ensuites",3,2,0,0,1
