"street","sale_price","sale_date","area","eq_area","atts","beds","baths","car_space","garage","ensuite"
"Airlie Avenue Prospect SA 5082",160000,2000-05-18,780,150," 4 Beds, 1 Baths",4,1,0,0,0
"Airlie Avenue Prospect SA 5082",170000,2001-06-13,650,100,"",0,0,0,0,0
"Airlie Avenue Prospect SA 5082",235000,2003-03-21,651,110," 3 Beds, 1 Baths",3,1,0,0,0
"Airlie Avenue Prospect SA 5082",171000,2000-11-24,651,115," 4 Beds, 2 Baths, 2 Car Spaces",4,2,2,0,0
"Alabama Avenue Prospect SA 5082",130000,2000-08-07,650,93,"",0,0,0,0,0
"Alabama Avenue Prospect SA 5082",210000,2002-08-22,651,112," 3 Beds, 1 Baths, 2 Car Spaces, 1 Lock Up Garages",3,1,2,1,0
"Alabama Avenue Prospect SA 5082",153000,2001-01-03,651,104," 3 Beds",3,0,0,0,0
"Alabama Avenue Prospect SA 5082",176500,2001-09-04,650,109," 2 Beds, 1 Car Spaces, 2 Lock Up Garages",2,0,1,2,0
"Alabama Avenue Prospect SA 5082",266000,2003-10-09,651,110," 3 Beds, 1 Baths, 1 Car Spaces, 1 Lock Up Garages",3,1,1,1,0
"Albert Street Prospect SA 5082",2e+05,2001-06-21,696,160," 4 Beds, 1 Baths, 4 Car Spaces",4,1,4,0,0
"Albert Street Prospect SA 5082",283500,2001-11-29,696,148," 4 Beds, 2 Baths",4,2,0,0,0
"Albert Street Prospect SA 5082",49500,2001-02-15,696,128,"",0,0,0,0,0
"Albert Street Prospect SA 5082",2e+05,2002-08-06,696,91," 2 Beds, 1 Baths",2,1,0,0,0
"Albert Street Prospect SA 5082",161000,2000-09-22,696,118," 2 Beds",2,0,0,0,0
"Albert Street Prospect SA 5082",254966,2002-12-19,696,136,"",0,0,0,0,0
"Albert Street Prospect SA 5082",145000,2000-08-03,696,111,"",0,0,0,0,0
"Alexandra Street Prospect SA 5082",291000,2002-10-08,696,159," 4 Beds, 1 Car Spaces, 1 Lock Up Garages",4,0,1,1,0
"Alexandra Street Prospect SA 5082",315000,2002-08-05,706,190," 3 Beds, 2 Baths, 2 Car Spaces",3,2,2,0,0
"Alexandra Street Prospect SA 5082",225000,2001-05-30,696,162," 3 Beds, 1 Baths, 1 Lock Up Garages",3,1,0,1,0
"Alexandra Street Prospect SA 5082",155000,2001-12-07,696,120," 3 Beds",3,0,0,0,0
"Alexandra Street Prospect SA 5082",142000,2000-02-29,696,129," 4 Beds, 2 Baths, 2 Car Spaces",4,2,2,0,0
"Alexandra Street Prospect SA 5082",150000,2000-06-26,696,102," 2 Beds, 1 Baths, 1 Lock Up Garages",2,1,0,1,0
"Alexandra Street Prospect SA 5082",174000,2000-12-20,696,116," 2 Beds, 1 Baths",2,1,0,0,0
"Alexandra Street Prospect SA 5082",222000,2002-02-15,348,110," 3 Beds, 1 Baths",3,1,0,0,0
"Allan Street Prospect SA 5082",270100,2003-12-12,626,107," 4 Beds, 1 Baths, 1 Car Spaces, 2 Lock Up Garages",4,1,1,2,0
